Genes
SLPI
TMEM59L
TFAP2B
RNU6-850P
KRT5
MIR3189
FOXI1
MAPT-AS1
SFRP1
MRPS30-DT
RASSF10
H3C4
CKMT1B
E2F7
NTS
RNA5SP323
PPP1R14C
SKA1
Y_RNA.74
B3GALT5-AS1
LINC00992
OGN
GRHL3
BIRC5
BRINP2
FOXJ1
CNTNAP2
MYBL1
MIR4269
FARS2-AS1
MIR27A
GRB14
CYP2T1P
VSTM2A
LOC124900442
MMP25
DEFB1
ENTREP1
CXCL13
CTSG
CLEC3A
AMIGO2
CYP2A6
PCP4
C6orf141
