Genes
MIR645
AKR1B10
VTCN1
BRINP3
VXN
FABP7
TRNV
KCNK5
MUC13
CYP4B1
CECR7
IGF1R
TMEM132E
GJB6
KRT20
VN1R85P
LINC02489
GRB7
LRP1B
KLF2P1
THRSP
ROPN1
FOXC1
PADI3
MTND1P23
IGLV3-27
LCT
SLC5A1
IGHV6-1
MAFA-AS1
HSD17B2-AS1
TBX10
KRT4
