Genes
KIRREL3-AS1
CPA4
TMEM63C
ERBB4
LOC105374511
KNDC1
LOC124901067
CYP2A7
NCAM2
KIAA0319
ALOX15B
DEGS2
DSCAM-AS1
CXCL17
TPSD1
SLC30A8
CXCL5
KRT23
LINC02620
MED15P4
MIR4635
TRNF
SUSD2
RASSF10
ABCC11
AFAP1-AS1
TTC6
KLRK1-AS1
FBN3
EFHD1
LINC02551
CAPN13
LRP2
RNU5E-1
GATA3-AS1
SERPINB3
RNF182
WIF1
BMP7
TMPRSS3
TCAM1P
TMSB15A
SIK1
AKR7A3
SCGB1B2P
SERPINB7
TRIML2
HORMAD1
ACSS3
LOC105374003
IGFALS
FZD9
F7
EPO
TTC36
LINC02323
LINC02732
TRAJ2
TLX1
LINC01956
ENPP1
MIR30C2
KRT20
H2AC9P
GFRA3
MELTF
GABBR2
ZIC1
LRRC31
SLC6A2
LY6K
CYP4Z2P
IGLV4-60
OR7E22P
MOCOS
TFF3
TPSG1
OTX1
CA4
TPSP2
MAPK4
PMS2P12
BAIAP2L2
TRBV5-5
PRLH
LOC157273
AQP3
VN1R84P
MUC5B
SLC44A4
MIR4728
TCAP
FOXJ1
PRSS21
Y_RNA.296
NTS
GLDC
LINC01489
