Genes
LINC03044
FGD3
TPSD1
SAA1
HBB
SMC1B
RNA5SP323
NTS
LINC01208
PRR11-AS1
BPIFB1
LOC124900556
TMEM59L
GLYATL2
CX3CR1
TAC1
SPAG5
ADH1B
LINC02224
OGN
MAPT-AS1
SKA1
MMP1
CYP2A6
GRP
ATP5MC1P4
ELOVL2
KRT17
C4B
SLURP1
KCNF1
LRRN1
WNK4
CST2
LOC124900442
LTF
CDC6
PCDHGB5
ZIC2
CTSV
LINC01836
CTSG
DOK7
PRAME
REEP6
MIR3189
ENTREP1
RERGL
FAM83E
PGR
